time,step,price,size,side,kind
2026-09-12T18:45:46,420,999,21.96,buy,market
2026-09-12T18:45:46,422,994,16.07,sell,market
2026-09-12T18:45:46,423,999,10.350000000000009,buy,market
2026-09-12T18:45:46,423,1000,4.609999999999992,buy,market
2026-09-12T18:45:46,423,1000,12.02,buy,stop
2026-09-12T18:45:46,423,1000,16.07,buy,stop
2026-09-12T18:45:46,425,1000,11.260000000000009,buy,market
2026-09-12T18:45:46,425,1001,7.61999999999999,buy,market
2026-09-12T18:45:46,425,1001,14.300000000000011,buy,stop
2026-09-12T18:45:46,425,1002,3.6099999999999888,buy,stop
2026-09-12T18:45:46,425,1002,8.82,buy,stop
2026-09-12T18:45:46,425,1002,10.8,buy,stop
2026-09-12T18:45:46,425,1002,18.81,buy,stop
2026-09-12T18:45:46,429,997,16.8,sell,market
2026-09-12T18:45:46,431,997,25.78,sell,market
2026-09-12T18:45:46,431,1002,24.6,buy,stop
2026-09-12T18:45:46,431,1003,1.1799999999999997,buy,stop
2026-09-12T18:45:46,431,1003,17.34,buy,stop
2026-09-12T18:45:46,431,1003,11.9,buy,stop
2026-09-12T18:45:46,431,1003,14.64,buy,stop
2026-09-12T18:45:46,433,998,18.52,sell,market
2026-09-12T18:45:46,434,998,14.65,sell,market
2026-09-12T18:45:46,442,998,9.66,sell,market
2026-09-12T18:45:46,445,998,8.280000000000005,sell,market
2026-09-12T18:45:46,445,997,0.769999999999996,sell,market
2026-09-12T18:45:46,453,1002,6.26,buy,market
2026-09-12T18:45:46,455,997,11.25,sell,market
2026-09-12T18:45:46,455,996,12.45,sell,market
2026-09-12T18:45:46,457,996,14.85,sell,market
2026-09-12T18:45:46,459,1001,19.65,buy,market
2026-09-12T18:45:46,463,1001,17.24,buy,market
2026-09-12T18:45:46,465,996,8.81,sell,market
2026-09-12T18:45:46,465,995,3.25,sell,market
2026-09-12T18:45:46,467,995,14.21,sell,market
2026-09-12T18:45:46,469,995,13.7,sell,market
2026-09-12T18:45:46,473,995,12.940000000000001,sell,market
2026-09-12T18:45:46,473,994,0.24999999999999822,sell,market
2026-09-12T18:45:46,473,994,6.26,sell,stop
